Id,Id2,Geography,name,respop72016,respop72017,rev_med_16,rev_rec_16,per_cap_med_17,per_cap_rec_17,rev_med_17,rev_rec_17,per_cap_med_17,per_cap_rec_17,med_rate,rec_rate
0500000US08071,8071,"Las Animas County, Colorado",Las Animas,14087,14238,0,21456457,0,1523.138851,338980,43913648,23.80811912,3084.256778,,1.024934742
0500000US08087,8087,"Morgan County, Colorado",Morgan,28063,28192,0,4138315,0,147.4651677,0,7918703,0,280.8847545,,0.904753231
0500000US08083,8083,"Montezuma County, Colorado",Montezuma,25975,26140,1001885,12108651,38.57112608,466.1655823,824786,20163593,31.55263963,771.3692808,-0.181962187,0.654710923
0500000US08065,8065,"Lake County, Colorado",Lake,7606,7778,0,1559663,0,205.0569287,0,2521582,0,324.1941373,,0.580995772
0500000US08021,8021,"Conejos County, Colorado",Conejos,8072,8184,0,3522183,0,436.3457631,0,5426288,0,663.0361681,,0.519520124
0500000US08015,8015,"Chaffee County, Colorado",Chaffee,19082,19638,0,3492699,0,183.0363169,0,5422335,0,276.114421,,0.508522602
0500000US08101,8101,"Pueblo County, Colorado",Pueblo,164834,166475,12103990,28801714,73.43139158,174.731633,7297082,40088773,43.83289983,240.809569,-0.403076819,0.378168136
0500000US08001,8001,"Adams County, Colorado",Adams,497395,503167,4942140,44868387,9.936046804,90.20675117,11187391,62132216,22.23395215,123.4822951,1.23770606,0.36888086
0500000US08045,8045,"Garfield County, Colorado",Garfield,58906,59118,4922183,16000942,83.55995994,271.6351815,3536822,21863129,59.82648263,369.8218647,-0.284029305,0.361465267
0500000US08091,8091,"Ouray County, Colorado",Ouray,4784,4794,0,2877027,0,601.3852425,0,3916922,0,817.0467251,,0.358607873
0500000US08023,8023,"Costilla County, Colorado",Costilla,3705,3776,0,2836421,0,765.565722,0,3874954,0,1026.206038,,0.340454527
0500000US08069,8069,"Larimer County, Colorado",Larimer,338531,343976,15839352,44288501,46.78848318,130.8255403,13868286,58391921,40.31759774,169.7557998,-0.138300817,0.297573848
0500000US08113,8113,"San Miguel County, Colorado",San Miguel,7964,7967,417224,3351875,52.38874937,420.8783275,190061,4337975,23.85603113,544.4929082,-0.54463446,0.293706216
0500000US08031,8031,"Denver County, Colorado",Denver,694777,704621,210860875,290750789,303.4943226,418.4807341,202864231,374673239,287.905457,531.7372588,-0.051364604,0.270637369
0500000US08093,8093,"Park County, Colorado",Park,17350,17905,0,3331577,0,192.0217291,0,4250202,0,237.3751466,,0.236188986
0500000US08051,8051,"Gunnison County, Colorado",Gunnison,16491,16939,0,5421591,0,328.7605967,0,6880647,0,406.2014877,,0.235554053
0500000US08097,8097,"Pitkin County, Colorado",Pitkin,17894,17890,1035481,9593269,57.86749749,536.1165195,711008,11588192,39.74332029,647.7468977,-0.31320133,0.208220367
0500000US08049,8049,"Grand County, Colorado",Grand,15129,15321,0,3292625,0,217.6366581,0,3957091,0,258.2788982,,0.186743541
0500000US08013,8013,"Boulder County, Colorado",Boulder,321173,322514,29000647,66407479,90.29603049,206.7654473,22484860,77438466,69.71746963,240.1088511,-0.227901058,0.161261972
0500000US08005,8005,"Arapahoe County, Colorado",Arapahoe,636949,643052,18337608,95552527,28.78975868,150.0159777,12477526,111836427,19.40360344,173.9150597,-0.326024103,0.159310244
0500000US08107,8107,"Routt County, Colorado",Routt,24679,25220,1838229,8693203,74.48555452,352.2510231,524473,10283160,20.79591594,407.7383029,-0.720806053,0.157521983
0500000US08117,8117,"Summit County, Colorado",Summit,30332,30585,1756711,20115627,57.91609521,663.1816893,1354884,22904938,44.29897008,748.8944908,-0.235118149,0.129244825
0500000US08123,8123,"Weld County, Colorado",Weld,294243,304633,3425076,26625504,11.64029731,90.48814755,3750264,30987020,12.31076082,101.7191834,0.057598487,0.124116099
0500000US08059,8059,"Jefferson County, Colorado",Jefferson,570839,574613,19555613,46058623,34.2576681,80.68583786,16660265,51783620,28.99388806,90.11912365,-0.153652608,0.116913774
