Month,Year,County,Med_Sales,Rec_Sales,Tot_Sales,Med_Blank_Code,Rec_Blank_Code
1,2014,Adams,683098,,683098,,NR
1,2014,Alamosa,,,0,NR,NL
1,2014,Arapahoe,1188232,,1188232,,NL
1,2014,Archuleta,,,0,NR,NL
1,2014,Baca,,,0,NL,NL
1,2014,Bent,,,0,NL,NL
1,2014,Boulder,3417873,,3417873,,NL
1,2014,Broomfield,,,0,NL,NL
1,2014,Chaffee,83714,,83714,,NL
1,2014,Cheyenne,,,0,NL,NL
1,2014,Clear Creek,143736,459640,603376,,
1,2014,Conejos,,,0,NL,NL
1,2014,Costilla,,,0,NR,NL
1,2014,Crowley,,,0,NL,NL
1,2014,Custer,,,0,NL,NL
1,2014,Delta,,,0,NL,NL
1,2014,Denver,15351083,8482593,23833676,,
1,2014,Dolores,,,0,NL,NL
1,2014,Douglas,,,0,NL,NL
1,2014,Eagle,203060,,203060,,NL
1,2014,Elbert,,,0,NL,NL
1,2014,El Paso,4923633,,4923633,,NL
1,2014,Fremont,134388,,134388,,NL
1,2014,Garfield,396086,,396086,,NR
1,2014,Gilpin,28798,197379,226177,,
1,2014,Grand,,,0,NR,NL
1,2014,Gunnison,36244,,36244,,NR
1,2014,Hinsdale,,,0,NL,NL
1,2014,Huerfano,,,0,NL,NL
1,2014,Jackson,,,0,NL,NL
1,2014,Jefferson,1979386,853675,2833061,,
1,2014,Kiowa,,,0,NL,NL
1,2014,Kit Carson,,,0,NL,NL
1,2014,Lake,,,0,NL,NR
1,2014,La Plata,523193,,523193,,NL
1,2014,Larimer,964948,,964948,,NL
1,2014,Las Animas,,,0,NL,NL
1,2014,Lincoln,,,0,NL,NL
1,2014,Logan,,,0,NL,NL
1,2014,Mesa,,,0,NR,NL
1,2014,Mineral,,,0,NL,NL
1,2014,Moffat,,,0,NR,NL
1,2014,Montezuma,100634,,100634,,NL
1,2014,Montrose,,,0,NR,NL
1,2014,Morgan,,,0,NL,NL
1,2014,Otero,,,0,NL,NL
1,2014,Ouray,,,0,NR,NR
1,2014,Park,,,0,NR,NR
1,2014,Phillips,,,0,NL,NL
1,2014,Pitkin,194865,,194865,,NL
1,2014,Prowers,,,0,NL,NL
1,2014,Pueblo,419894,,419894,,NR
1,2014,Rio Blanco,,,0,NL,NL
1,2014,Rio Grande,,,0,NL,NL
1,2014,Routt,239509,,239509,,NR
1,2014,Saguache,,,0,NL,NL
1,2014,San Juan,,,0,NL,NL
1,2014,San Miguel,164384,338934,503318,,
1,2014,Sedgwick,,,0,NR,NL
1,2014,Summit,271441,1274208,1545649,,
1,2014,Teller,,,0,NR,NL
1,2014,Washington,,,0,NL,NL
1,2014,Weld,657150,,657150,,NR
1,2014,Yuma,,,0,NL,NL
1,2015,Adams,421362,1189877,1611239,,
1,2015,Alamosa,,,0,NR,NL
1,2015,Arapahoe,1493744,1844768,3338512,,
1,2015,Archuleta,,,0,NR,NR
1,2015,Baca,,,0,NL,NL
1,2015,Bent,,,0,NL,NL
1,2015,Boulder,2501072,3565252,6066324,,
1,2015,Broomfield,,,0,NL,NL
1,2015,Chaffee,,,0,NR,NR
1,2015,Cheyenne,,,0,NL,NL
1,2015,Clear Creek,79640,455108,534748,,
1,2015,Conejos,,,0,NL,NL
1,2015,Costilla,,,0,NR,NR
1,2015,Crowley,,,0,NL,NL
1,2015,Custer,,,0,NL,NL
1,2015,Delta,,,0,NL,NL
1,2015,Denver,13374117,15485689,28859806,,
1,2015,Dolores,,,0,NL,NL
1,2015,Douglas,,,0,NL,NL
1,2015,Eagle,316095,825587,1141682,,
1,2015,Elbert,,,0,NL,NL
1,2015,El Paso,5582451,,5582451,,NR
1,2015,Fremont,180201,,180201,,NL
1,2015,Garfield,325730,616641,942371,,
1,2015,Gilpin,31006,112455,143461,,
1,2015,Grand,,,0,NR,NR
1,2015,Gunnison,,273043,273043,NR,
1,2015,Hinsdale,,,0,NL,NL
1,2015,Huerfano,,,0,NL,NL
1,2015,Jackson,,,0,NL,NL
1,2015,Jefferson,1868844,2108127,3976971,,
1,2015,Kiowa,,,0,NL,NL
1,2015,Kit Carson,,,0,NL,NL
1,2015,Lake,,,0,NL,NR
1,2015,La Plata,893330,798627,1691957,,
1,2015,Larimer,1141214,1728021,2869235,,
1,2015,Las Animas,,224113,224113,NR,
1,2015,Lincoln,,,0,NL,NL
1,2015,Logan,,,0,NL,NL
1,2015,Mesa,,,0,NR,NR
1,2015,Mineral,,,0,NL,NL
1,2015,Moffat,,,0,NR,NL
1,2015,Montezuma,114767,,114767,,NR
1,2015,Montrose,,,0,NR,NL
1,2015,Morgan,,,0,NR,NR
1,2015,Otero,,,0,NL,NL
1,2015,Ouray,,,0,NR,NR
1,2015,Park,,,0,NR,NR
1,2015,Phillips,,,0,NL,NL
1,2015,Pitkin,90522,813722,904244,,
1,2015,Prowers,,,0,NL,NL
1,2015,Pueblo,359950,1063092,1423042,,
1,2015,Rio Blanco,,,0,NL,NL
1,2015,Rio Grande,,,0,NL,NL
1,2015,Routt,,,0,NR,NR
1,2015,Saguache,,,0,NL,NR
1,2015,San Juan,,,0,NL,NR
1,2015,San Miguel,50579,374588,425167,,
1,2015,Sedgwick,,,0,NR,NR
1,2015,Summit,255639,1685111,1940750,,
1,2015,Teller,,,0,NR,NL
1,2015,Washington,,,0,NL,NL
1,2015,Weld,340278,1199406,1539684,,
1,2015,Yuma,,,0,NL,NL
1,2016,Adams,363668,2544485,2908153,,
1,2016,Alamosa,,,0,NR,NL
1,2016,Arapahoe,1547734,5949573,7497307,,
1,2016,Archuleta,,,0,NR,NR
1,2016,Baca,,,0,NL,NL
1,2016,Bent,,,0,NL,NL
1,2016,Boulder,2565967,4499880,7065847,,
1,2016,Broomfield,,,0,NL,NL
1,2016,Chaffee,,268240,268240,NR,
1,2016,Cheyenne,,,0,NL,NL
